country,abbrv,src,spending,obesity,depression,alcoholism,bloodpressure,exercise,respiratory,cancer,cardiovascular,diabetes
Australia,AU,/images/Australia-icon.png,4543,29,5.9,7.3,15.2,30.4,4,0.468,5,5.1
Austria,AT,/images/Austria-icon.png,5440,20.1,5.1,10.4,21,30.1,3,0.2477,6,6.3
Belgium,BE,/images/Belgium-icon.png,4774,22.1,4.8,9.6,17.5,35.7,3,0.3458,5,4.3
Canada,CA,/images/Canada-icon.png,4826,29.4,4.7,6.7,13.2,28.6,1,0.334,5,7.4
France,FR,/images/France-icon.png,4902,21.6,4.8,9.2,22,29.3,2,0.3441,3,4.8
Germany,DE,/images/Germany-icon.png,5728,22.3,5.2,9.6,19.9,42.2,3,0.3131,6,8.3
Japan,JP,/images/Japan-icon.png,4717,4.3,4.2,5.6,17.6,35.5,2,0.248,3,5.7
Netherlands,NL,/images/Netherlands-icon.png,5386,20.4,4.7,7.4,18.7,27.2,2,0.3341,5,5.3
Sweden,SE,/images/Sweden-icon.png,5511,20.6,4.9,6.1,19.3,23.1,16,0.2947,5,4.8
Switzerland,CH,/images/Switzerland-icon.png,8009,19.5,5,8.3,18,23.7,1,0.311,4,5.6
United Kingdom,UK,/images/United-Kingdom-icon.png,4246,27.8,4.5,8,15.2,35.9,4,0.3192,7,4.3
United States,US,/images/United-States-icon.png,10224,36.2,5.9,7,12.9,40,6,0.3522,8,10.8
